,TOTAL CONSUMPTION,TEMP,HIGH_TEMP,LOW_TEMP,RAIN_COND,Temp_Dif
2285,1232408.0,22.1,26.1,19.4,0,6.700000000000003
2286,1215802.0,23.3,27.8,19.4,0,8.400000000000002
2287,1196197.0,23.8,28.1,19.1,0,9.0
2288,1246938.0,26.1,30.6,20.2,0,10.400000000000002
2289,1277289.0,27.8,32.2,22.1,0,10.100000000000001
2290,1262896.0,27.7,32.3,21.9,0,10.399999999999999
2291,1267409.0,28.4,33.5,22.8,0,10.7
2292,1255211.0,29.5,35.1,23.2,0,11.900000000000002
2293,1256533.0,29.2,33.6,23.7,0,9.900000000000002
2294,1165166.0,24.9,28.5,21.9,1,6.600000000000001
2295,1132213.0,23.1,27.6,19.1,1,8.5
2296,1194838.0,24.2,27.8,20.2,0,7.600000000000001
2297,1159657.0,25.2,29.7,21.8,0,7.899999999999999
2298,1093687.0,22.3,24.7,19.2,1,5.5
2299,1138244.0,23.0,28.9,18.1,0,10.799999999999997
2300,1173290.0,24.6,29.9,19.4,0,10.5
2301,1191824.0,26.1,31.7,21.7,0,10.0
2302,1182521.0,25.3,29.2,22.5,1,6.699999999999999
2303,1138249.0,23.7,27.5,21.3,0,6.199999999999999
2304,1146185.0,24.2,28.8,19.8,0,9.0
2305,1123179.0,24.3,29.4,20.8,1,8.599999999999998
2306,1133930.0,24.3,29.7,19.7,1,10.0
2307,1111846.0,23.9,29.1,19.4,1,9.700000000000003
2308,1133283.0,26.1,30.2,21.9,0,8.3
2309,1167678.0,27.0,30.6,22.3,0,8.3
2310,1176407.0,26.1,29.3,23.2,0,6.100000000000001
2311,1140381.0,26.9,31.3,22.9,0,8.400000000000002
2312,1203132.0,29.6,33.3,23.7,0,9.599999999999998
2313,1199822.0,29.6,33.6,25.1,0,8.5
2314,1228848.0,30.4,34.3,24.9,0,9.399999999999999
2315,1232178.0,28.4,33.2,23.3,0,9.900000000000002
2316,1232433.0,28.7,33.2,24.1,0,9.100000000000001
2317,1206435.0,28.3,31.5,25.7,0,5.800000000000001
2318,1168715.0,28.3,32.3,24.3,0,7.9999999999999964
2319,1210661.0,28.9,32.9,24.7,0,8.2
2320,1234758.0,30.1,34.4,25.0,0,9.399999999999999
2321,1229940.0,28.9,32.1,26.4,0,5.700000000000003
2322,1224347.0,29.6,33.3,25.7,0,7.599999999999998
2323,1224051.0,29.8,33.3,26.8,0,6.4999999999999964
2324,1221732.0,29.7,33.6,26.4,0,7.200000000000003
2325,1194050.0,30.9,34.3,28.1,0,6.199999999999996
